शेतकरी आंदोलनाला माओवाद्यांचा पाठिंबा|महाराष्ट्र टाइम्स|Updated: 26 Jan 2021, 10:13:00 AM||म. टा. वृत्तसेवा, गडचिरोली नव्या कृषी कायद्यांविरुद्ध शेतकऱ्यांनी दिल्लीत पुकारलेल्या आंदोलनाला आता माओवाद्यांनीही पाठिंबा जाहीर केला आहे. जनतेने शेतकऱ्यांच्या आंदोलनासाठी पुढे येण्याचे आवाहनही त्यांनी पत्रकातून केले आहे. माओवाद्यांचा केंद्रीय प्रवक्ता अभय याच्या नावाने हे पत्रक जारी करण्यात आले आहे. माओवाद्यांनी पत्रकातून केंद्र सरकारवर तीव्र शब्दांत टीका केली आहे. लोकसभेत शेतकरीविरोधी असलेल्या विधेयकाला कुठलीही चर्चा न करता कायदेशीर स्वरूप दिले. या कायद्याविरुद्ध दिल्लीमध्ये आंदोलन करणाऱ्या शेतकऱ्यांच्या सर्व मागण्यांना माओवादी संघटनेचे पूर्ण समर्थन आहे. विविध राज्यांमध्ये माओवादी समर्थक, संघटनांनी शेतकऱ्यांसोबत आंदोलनात सक्रिय सहभाग घ्यावा, असे आवाहनही करण्यात आले आहे. शेतकऱ्यांच्या आंदोलनाला शहरी माओवाद, दहशतवाद, अशी नावे दिली जातात. याविरोधातही पत्रकातून आवाज उठविण्यात आला आहे. सुरुवातीच्या काळात भारतीय जनता पक्षाशी संबंधित शेतकरी संघटनेने शेतकऱ्यांच्या आंदोलनाला समर्थन दिले होते. मात्र या संघटनांनी आता या आंदोलनाशी फारकत घेऊन शेतकऱ्यांसोबत आणि पूर्ण देशासोबत गद्दारी केल्याचा आरोप माओवाद्यांनी पत्रकातून केला आहे. शेतकऱ्यांचे हे आंदोलन मोडण्याचा पूर्ण प्रयत्न केंद्र सरकार करीत आहे. मात्र सर्व शेतकऱ्यांनी आपल्या मागण्या पूर्ण होईपर्यंत आणखी तीव्रतेने मजबूत राहून आंदोलनात पुढे यावे, असे आवाहनही माओवाद्यांच्या केंद्रीय समितीने शेतकऱ्यांना केले आहे. 
शेतकऱ्यांच्या मागण्यांसाठी अण्णा हजारे करणार उपोषण; केले 'हे' आवाहन|Sunil Tambe|Updated: 29 Jan 2021, 08:45:00 AM|हायलाइट्स: अण्णा हजारे ३० जानेवारी रोजी महात्मा गांधींच्या पुण्यतिथीपासून राळेगणसिद्धी येथून उपोषण सुरू करणार आहेत. करोना संसर्गाच्या भितीमुळे कार्यकर्त्यांनी राळेगणसिद्धीत गर्दी करू नये, ठिकठिकाणी अहिंसेच्या मार्गाने पाठिंबा देणारी आंदोलने करावीत, असे आवाहन अण्णा हजारे यांनी केले आहे. दिल्लीतील शेतकरी आंदोलनात घडलेल्या घटनेने आपण दु:खी असल्याचेही अण्णा म्हणाले.|अहमदनगर : सरकारकडे केलेल्या मागण्यांवर अद्याप तोडगा निघाला नसल्याने ३० जानेवारीचे आंदोलन होणार असल्याचे अण्णा हजारे ( Anna Hajare ) यांनी जाहीर केले आहे. करोना संसर्गाच्या भितीमुळे कार्यकर्त्यांनी राळेगणसिद्धीत गर्दी करू नये, ठिकठिकाणी अहिंसेच्या मार्गाने पाठिंबा देणारी आंदोलने करावीत, असे आवाहन अण्णा हजारे यांनी केले आहे. (anna hazare will start a fast from january 30) अण्णांच्या आंदोलनाची सुरुवात येत्या ३० जानेवारी रोजी महात्मा गांधींच्या पुण्यतिथीपासून राळेगणसिद्धी येथून होणार आहे. पाठिंबा देणाऱ्यांनी आपापल्या ठिकाणांहून यात सहभाग व्हावं, असं आवाहनही हजारे यांनी केलं आहे. आम्ही सरकारकडे आमच्या मागण्या वारंवार मांडल्या आहेत. या मागण्यांसाठी गेल्या तीन महिन्यांत मी पंतप्रधान आणि कृषी मंत्र्यांना पाच वेळा पत्रही लिहिले आहे. त्यानंतर सरकारचे प्रतिनिधी इथे येऊन चर्चाही करत आहेत. मात्र, अद्याप या मागण्यांवर कोणताही योग्य तोडगा निघालेला नाही. त्यामुळे आता मी ३० जानेवारी २०२१ रोजी महात्मा गांधीजींच्या पुण्यतिथी दिनी राळेगणसिद्धी येथील यादवबाबा मंदिरात उपोषणाला बसणार आहे, असे अण्णा हजारे यांनी म्हटले आहे. मी फक्त राळेगणसिद्धी येथून उपोषण करणार आहे. मला समर्थन देऊ इच्छिणाऱ्यांनी आपापल्या गावातून, जिल्हाधिकारी कार्यालयावर शांततेत आंदोलन करावे. अद्यापही करोनाचा धोका टळलेला नाही त्यामुळे राळेगणसिद्धी येथे गर्दी करणे योग्य ठरणार नाही, असे आवाहनही अण्णांनी लोकांना केले आहे. क्लिक करा आणि वाचा- 'भेंडीबाजार म्हटले की 'सिल्व्हर ओक'ला, बेहरामपाडा म्हटले की 'मातोश्रीला' त्रास होतो' दिल्लीतील शेतकरी आंदोलनात घडलेल्या घटनेने आपण दु:खी असल्याचेही अण्णा म्हणाले. मी कायमच अहिंसात्मक आंदोलन करत आलो आहे. गेल्या ४० वर्षांत मी अनेकवेळा आंदोलने केलेली आहेत. २०११ मध्ये दिल्लीत झालेल्या लोकपालासाठीच्या आंदोलनात लाखोंच्या संख्येने जनतेने सहभाग नोंदवला होता. मात्र, त्या आंदोलनात एकानेही एक दगडही उचलला नाही. शांतता हीच आंदोलनाची शक्ती आहे, असे गांधीजींनी आम्हाला शिकवले आहे. आंदोलानात कोणत्याही प्रकारे हिंसा होता कामा नये, असेही अण्णा हजारे यांनी म्हटले आहे. क्लिक करा आणि वाचा- राज्यातील सूतगिरण्यांना घरघर; बड्या राजकीय नेत्यांना दणका क्लिक करा आणि वाचा- एकनाथ खडसेंना ३ फेब्रुवारीपर्यंत दिलासा, ईडीची कोर्टात हमी 
शेतकरी आंदोलनावर सुप्रीम कोर्टाकडून चिंता व्यक्त; म्हणाले...|Sachin Fulpagare|Updated: 06 Jan 2021, 06:06:00 PM||नवी दिल्लीः कृषी कायद्यांसंबंधित याचिकेवरील सुनावणीत सुप्रीम कोर्टाने शेतकरी आंदोलनावर चिंता ( farmers protest ) व्यक्त केली आहे. आम्ही परिस्थिती जाणून आहोत. चर्चेच्या माध्यमातून हा तिढा सोडवावा अशी अपेक्षा आहे, असं सरन्यायाधीश बोबडे म्हणाले. यासह तिन्ही कृषी कायदे रद्द करण्याविरोधात आणखी एक याचिका दाखल करण्यात आली आहे. एम. एल. शर्मा यांनी ही याचिका केला आहे. कोर्टात शेतकरी आंदोलनावरून काय सुनावणी सुरू आहे हे तुम्हाला माहिती आहे का? असा प्रश्न सरन्यायाधीश बोबडे यांनी शर्माना यांना केला. सुधारित याचिका दाखल केली आहे, असं उत्तर एम. एल. शर्मा त्यावर दिलं. यानंतर सरन्यायाधीश बोबडे यांनी सॉलिसिटर जनरल तुषार मेहता यांना शेतकरी आंदोलनावर सुनावणी कधी आहे? असा प्रश्न केला. अद्याप तारीख निश्चित झाली नसल्याचं तुषार मेहता म्हणाले. पण इतर प्रकरणांसोबत याची सुनावणी घेऊ नये, असंही ते म्हणाले. पण शेतकरी आंदोलनावर अद्याप कोणताही तोडगा निघालेला नाही, यामुळे या प्रकरणाची सुनावणीही इतर प्रकरणांसोबत व्हायला हवी, असं सरन्यायाधीश बोबडे म्हणाले. आता सर्व याचिकांवर येत्या सोमवारी ११ जानेवारीला सुनावणी होणार आहे. आता सर्व याचिकांवर सोमवारी सुनावणी घेऊ. सर्व प्रकरणांवर एकाच वेळी सुनावणी घेऊ. पण त्या दिवशी अॅटर्नी जनरलनी सुनावणी पुढे ढकलण्याची मागणी केली तर ती पुढे घेतली जाईल. चर्चेतून तोडगा निघावा अशी कोर्टाचीही इच्छा आहे, असं सरन्यायाधीश शरद बोबडे म्हणाले. मोहन भागवत, RSS कार्यालय उडवून देण्याची धमकी, महाराष्ट्रातील नेत्यावर गुन्हा शेतकरी आंदोलन; आता संघाने घेतली उडी, गावोगावी जाऊन 'संभ्रम' दूर करणार शेतकरी आंदोलनाच्या स्थिती कुठलीही सुधारणा झालेली नाही, असं सरन्यायाधीश म्हणाले. तर यावर लवकरच तोडगा निघेल, अशी दाट शक्यता असल्याचं अॅटर्नी जनरल के. के. वेणुगोपाल यांनी सांगितलं. 
Modi Government : शेतकरी आंदोलनाला परदेशातून समर्थन, मोदी सरकारला झटका|Shubhangi Palve|Updated: 03 Feb 2021, 02:53:00 PM|हायलाइट्स: रिहाना, ग्रेटा थनबर्ग यांच्याकडूनही शेतकरी आंदोलनावर ट्विट दिल्ली शेतकरी आंदोलनाची चर्चा आता परदेशातही सुरू आंतरराष्ट्रीय प्रतिक्रियांमुळे केंद्रातील मोदी सरकारला झटका|नवी दिल्ली : भारताची राजधानी दिल्लीच्या सीमेवर गेल्या ७० दिवसांपासून सुरू असलेल्या शेतकरी आंदोलनाची चर्चा आता परदेशातही सुरू झालीय. केंद्र सरकारनं लागू केलेल्या कृषी कायद्यांविरोधातील शेतकरी आंदोलनावर रिहाना आणि ग्रेटा थनबर्ग यांच्यासहीत अनेक परदेशी सेलिब्रिटी आणि नामवंत मंडळींकडून सोशल मीडियावर प्रतिक्रिया व्यक्त करण्यात आल्या आहेत. यापैंकी बहुतेक प्रतिक्रिया या शेतकऱ्यांच्या शांतिपूर्ण आंदोलनाला पाठिंबा देणाऱ्या आहेत. यामुळे, सोशल मीडियावर शेतकरी आंदोलनाला पाठिंबा देणाऱ्या हॅशटॅगचा ट्रेन्डही दिसून आलाय. यामुळे, केंद्रातील सरकारला मात्र चांगलाच झटका बसलाय. यानंतर परराष्ट्र मंत्रालयाकडून एक निवेदन प्रसिद्ध करण्यात आलंय. सोशल मीडियावर या प्रतिक्रियांची चर्चा भारतातही सुरू झाल्यानंतर मोदी सरकारकडून बुधवारी यावर कठोर प्रतिक्रिया व्यक्त केलीय. हा प्रकार, 'सनसनी फैलावणारे सोशल मीडिया हॅशटॅग' आणि 'कमेंटसची हाव' असल्याचं सांगत केंद्रानं आंतरराष्ट्रीय नेटकऱ्यांना इशारा दिलाय. 'हे तर छोट्या भागातील शेतकऱ्यांचं आंदोलन' 'शेतकऱ्यांचं हे आंदोनल भारतातील खूपच छोट्या भागाशी संबंधित शेतकऱ्यांकडून करण्यात येत आहे', असा दावाही भारत सरकारनं आपल्या प्रतिक्रियेत केला आहे. तसंच सरकारकडून जाहीर करण्यात आलेल्या या प्रतिक्रेयत #IndiaTogether आणि #IndiaAgainstPropaganda असे दोन हॅशटॅगही वापरण्यात आले आहेत. 'भारताच्या लोकशाही मूल्यं, सरकार तसंच संबंधित शेतकरी संघटनांच्या समस्यांचं निराकरण करण्याच्या प्रयत्नांच्या संदर्भात या आंदोलनाकडे पाहायला जायला हवं, यावर आम्ही जोर देऊ इच्छितो', असंही केंद्र सरकारनं म्हटलंय. 'प्रकरण समजून घ्या...' 'अशा कोणत्याही विषयांवर भाष्य करण्यापूर्वी वस्तुस्थिती लक्षात घ्यायला हवी तसंच संपूर्ण प्रकरण समजून घ्यायला हवं. सोशल मीडिया हॅशटॅग आणि टिप्पण्यांवरून आपलं मत बनवणं विशेषत: सेलिब्रिटींकडून, हे केवळ चुकीचंच नाही तर बेजबाबदार आहे' असंही यात म्हटलं गेलंय. 'सखोल चर्चेनंतर कायद्यांना संमती' 'कृषी क्षेत्रातील हे सुधारात्मक कायदे सखोल चर्चा आणि विश्लेषणानंतर संमत करण्यात आले आहे. ज्या सुधारणा करण्यात आल्या आहेत त्या शेतकऱ्यांना बाजारपेठेपर्यंत प्रवेश देत, शेतीला अधिक लवचिक बनवण्याचं काम करतात. हे कायदे आर्थिक आणि पर्यावरणीय शाश्वत शेतीसाठी मार्ग दाखवणार आहेत' अशी निवेदन केंद्र सरकारकडून प्रसिद्ध करण्यात आलंय. उल्लेखनीय म्हणजे, माहितीच्या अधिकाराखाली केलेल्या एका अर्जाला उत्तर देताना कृषी कायद्यांसंबंधी झालेली चर्चा, पत्रव्यवहार, फाईल, रेकॉर्ड संबंधी कोणतीही माहिती देण्यास तसंच कृषी कायद्यांविषयी दस्तऐवज सार्वजनिक करण्यास केंद्राकडून नकार देण्यात आला होता. 
गुजरात फॉरेन्सिक टीम दिल्लीत, हिंसाचाराच्या ठिकाणाची केली पाहणी|Sachin Fulpagare|Updated: 31 Jan 2021, 07:33:00 PM||नवी दिल्ली: गुजरातमधील फॉरेन्सिक तज्ज्ञांच्या पथकाने रविवारी मध्य दिल्लीतील आयटीओ जंक्शनच्या आसपासच्या भागाला भेट दिली. शेतकऱ्यांच्या ट्रॅक्टर रॅलीत हिंसाचार झाला त्या ठिकाणांपैकी आयटीओ एक आहे. फॉरेन्सिक सायन्स लॅबोरेटरीचे (FSL) पथक मंगळवारी ४०० वर्ष जुन्या मोगल काळातील लाल किल्ल्याला भेट देईल. ज्या ठिकाणी २६ जानेवारीला हिंसाचार झाला होता. शेतकऱ्यांचा एक गट ट्रॅक्टर रॅलीच्या नियोजित मार्गापासून दूर जात लाल किल्ल्याच्या आवारात पोहोचला होता. हिंसक आंदोलकांनी लाल किल्ल्यावर धार्मिक झेंडा फडकवला होता. पोलिसांकडून आंदोलकांना सतत शांततेचं आवाहन करण्यात येतं होतं. अखेर परिस्थिती नियंत्रणात आणण्यासाठी पोलिसांना लाठीमार करावा लागला आणि अश्रुधुराच्या नळकांड्या फोडाव्या लागल्या. आंदोलकांनी लाल किल्ल्यात तोडफोड केली. यामुळे मालमत्तेचं मोठ्या प्रमाणात नुकसान झालं. अनेक ठिकाणी शेतकरी आणि पोलिसांमध्ये संघर्ष दिसून आला. पोलिस, सीआरपीएफ आणि आरएएफचे जवान मोठ्या प्रमाणात जमलेल्या शेतकऱ्यांसमोर काहीही करू शकले नाहीत. आंदोलक शेतकऱ्यांनी ट्रॅक्टरसह लाल किल्ल्यात प्रवेश केला. आयटीओ जंक्शन हे दिल्लीच्या व्हीआयपी झोनपासून काही किलोमीटर अंतरावर आहे. या ठिकाणी एका आंदोलकाचाही मृत्यू झाला. भरधाव ट्रॅक्टर पलटी झाल्याने ट्रॅक्टर खाली येऊ त्याचा मृत्यू झाला. हा शेतकरी उत्तर प्रदेशातील रामपूरचा होता. दिल्लीतील हिंसाचारात राष्ट्रध्वजाचा अपमान, देश दुःखीः PM मोदी 'कोणतंही आंदोलन चिरडून शांत करता येत नाही' सत्यपाल मलिकांच्या वक्तव्याने केंद्राची गोची ट्रॅक्टर रॅलीत झालेल्या हिंसाचार प्रकरणी दिल्ली पोलिसांनी आतापर्यंत ३८ गुन्हे दाखल केले असून ८६ जणांना अटक केली. हिंसाचारात सामील असलेल्यांना ओळखण्यासाठी १७०० पेक्षा अधिक मोबाइल फोन व्हिडिओ क्लिप आणि सीसीटीव्ही फुटेज तपासले जाणार आहे. आयटीओ परिसरात शेतकऱ्याच्या मृत्यूवरून चुकीची माहिती पसरवल्याच्या आरोपावरून कॉंग्रेसचे खासदार शशी थरूर आणि काही पत्रकारांवर दिल्ली पोलिसांनी गुन्हा दाखल केला आहे. 
'दुसऱ्यांना शिकवण्यापेक्षा स्वतःचा विश्वास बळकट करा' बॉलिवूडकरांना तापसीनं सुनावलं|Bhagyashree Rasal|Updated: 04 Feb 2021, 11:49:00 AM|हायलाइट्स: आंतरराष्ट्रीय पॉपस्टार रिहानामुळे जगाचं लक्ष गेलं देशातल्या शेतकरी आंदोलनाकडे बॉलिवूड सेलिब्रेटींनी रिहानाला विरोध करत दिलं सरकारच्या भूमिकेला समर्थन तापसी पन्नूनं बॉलिवूड स्टार्सना सुनावलं|मुंबई: भारतात सुरू असलेलं शेतकरी आंदोलन हे सध्या जगभरात चर्चेचा विषय ठरलं आहे. आंतरराष्ट्रीय पॉपस्टार रिहानानं याबाबत ट्वीट करताच जगभरातून या आंदोलनाला पाठिंबा मिळायला सुरुवात झाली. ‘आपण याबाबत का बोलत नाही #FarmerProtest’ असं ट्वीट रिहानानं केलं होतं. रिहानाच्या या ट्वीटवर अनेक बॉलिवूड सेलिब्रेटींच्या प्रतिक्रिया आल्या. बॉलिवूड स्टार अक्षय कुमार, अजय देवगण, सुनील शेट्टी, करण जोहर यांनी देखील रिहानाच्या या ट्वीटवर आपली प्रतिक्रिया दिली आहे. अभिनेत्री कंगना रणौत तर सर्वात आधी रिहानाच्या ट्वीटवर आपली प्रतिक्रिया दिली होती. ज्यात तिनं रिहानाला मूर्ख असं संबोधलं होतं. तर इतर बॉलिवूड स्टार्सनी सर्वांना एकजूटीनं राहण्याचं आवाहन करत रिहाना किंवा भारताबाहेरील ज्यांची याबाबत प्रतिक्रिया दिली होती तो देशाच्या विरोधात एक खोटा प्रपोगेंडा असल्याचं म्हटलं होतं. हे सर्व ट्वीट देशात चर्चेचा विषय ठरत असतानाच आता अभिनेत्री तापसी पन्नूनं देखील याबाबत आपलं मत मांडलं आहे. तापसीच्या मते जर एक ट्वीटमुळे देशाच्या एकतेवर प्रश्नचिन्ह उपस्थित होत असेल तर आपल्याला विचार करण्याची गरज आहे. तिचं हे ट्वीट सध्या खूप व्हायरल होताना दिसत आहे. तापसीनं तिच्या ट्वीटमध्ये लिहिलं, ‘जर एका ट्वीटमुळे देशाच्या एकतेवर प्रश्नचिन्ह उपस्थित होत असेल, एखाद्या मस्करीमुळे तुमच्या विश्वासाला तडा जात असेल, एका शोमुळे तुमच्या धार्मिक भावनांवर परिणाम होत असेल. तर मग तुम्हाला इतरांचे प्रपोगेंडा टिचर होण्यापेक्षा तुमचा स्वःवर असलेला विश्वास आणखी अधिक मजबूत करण्याची गरज आहे.’ तापसीचं हे ट्वीट सध्या सगळीकडे चर्चेचा विषय ठरत आहे. याआधी अक्षय कुमारनं या आंदोलनासंदर्भात सरकारच्या भूमिकेला समर्थन देत लिहिलं होतं, ‘शेतकरी निश्चितच आपल्या देशाचा महत्त्वपूर्ण भाग आहेत. त्यांच्या प्रत्येक समस्येचा उपाय शोधण्याचं काम आपलं सरकार करत आहे आणि आपण आपल्या सरकारला पाठिंबा द्यायला हवा. आपण त्यांच्यासोबत उभं राहायला हवं. जे लोक आपल्या देशात फूट पाडण्याचा प्रयत्न करत आहेत अशा लोकांचं आपण समर्थन करणं चुकीचं आहे. #IndiaTogether #IndiaAgainstPropaganda.’ याशिवाय अभिनेता अजय देवगणनं देखील याबाबत ट्वीट केलं होतं- 'भारत किंवा भारतीय धोरणांविरूद्ध कोणत्याही चुकीच्या प्रचाराला बळी पडू नका. ही वेळ आपण एकत्र उभं राहण्याची आहे' 
शेतकरी आंदोलन; 'रिलायन्स'चे निवेदन,शेतकऱ्यांच्या विकासासाठी कटिबद्ध असल्याचा दावा|Kailas Redij|Updated: 04 Jan 2021, 02:40:00 PM||मुंबई : रिलायन्स अथवा तिच्या कोणत्याही उपकंपनीने पंजाब/हरियाणा अथवा भारतात इतरत्र कॉर्पोरेट अथवा कॉन्ट्रॅक्ट फार्मिंगसाठी प्रत्यक्ष अथवा अप्रत्यक्षपणे कोणतीही शेती विकत घेतलेली नाही. अशा प्रकारची आमची कोणतीही योजना नाही , असे रिलायन्स समूहाकडून स्पष्ट करण्यात आले आहे. शेतकरी आंदोलनाच्या पार्श्वभूमीवर रिलायन्सने एक निवेदन जारी केले असून त्यात समूहाची भूमिका मांडण्यात आली आहे. रिलायन्स जिओ इन्फोकॉम लिमिटेडने (आरजेआयएल) पंजाब व हरियाणा उच्च न्यायालयात याचिका दाखल केली असून, समाज कंटकांकडून सुरू असलेल्या बेकायदा कारवाया थांबवण्यासाठी सरकारी यंत्रणांनी तातडीने हस्तक्षेप करावा, अशी मागणी केली आहे. या हिंसक कारवायांमुळे हजारो कर्मचाऱ्यांच्या जिवितास धोका निर्माण झाल्याचे जिओने म्हटलं आहे. दूरसंचार सेवेच्या पायाभूत सुविधा, आणि दोन राज्यांतील उपकंपन्यांकडून सुरू असलेली विक्री व सेवा आऊटलेट यांचे नुकसान होण्यासोबत सेवा विस्कळीत होत आहे. काही चुकीचे घटक आणि व्यावसायिक प्रतिस्पर्धी यांच्याकडून मालमत्तेचे नुकसान व तोडफोड करणाऱ्या समाजकंटकांना चिथावणी देण्यासोबत मदत केली जात आहे, असा आरोप या याचिकेत करण्यात आला आहे. शेतकरी आंदोलनाचा गैरफायदा घेऊन काही घटक चुकीच्या हेतूने रिलायन्सच्या विरोधात सातत्यपूर्ण, बदनामीकारक आणि आमची प्रतिमा डागाळण्यासाठी मोहीम चालवत असून, त्याला सत्याचा कोणताही आधार नाही. अलीबाबा समुहाचे संस्थापक जॅक मा दोन महिन्यांपासून बेपत्ता? जिओने म्हटलं आहे की, उच्च न्यायालयासमोर कंपनी खालील निर्विवाद तथ्ये मांडत आहे, यातून या मोहिमेतील खोटेपणा अगदी स्पष्टपणे समोर येईल. देशात सध्या वादविवाद सुरू असलेल्या तीन कृषी कायद्यांशी रिलायन्सचा काहीही संबंध नसून, त्याचा कोणताही फायदा आम्हाला होणार नाही, हे या तथ्यांतून समोर येईल. यामुळे या कायद्यांशी रिलायन्सचा संबंध जोडून आमच्या व्यवसायाची हानी करण्यासह आमच्या प्रतिष्ठेला धक्का लावण्याचा एकमेव कुटिल हेतू यामागे आहे. १. रिलायन्स रिटेल लिमिटेड (आरआरएल), रिलायन्स जिओ इन्फोकॉम लिमिटेड (आरजेआयएल) अथवा आमची पालक कंपनी रिलायन्स इंडस्ट्रीज लिमिटेडशी संलग्न इतर कंपन्या यांनी याआधी कधीही कॉर्पोरेट अथवा कॉन्ट्रॅक्ट फार्मिंग केलेले नाही आणि या व्यवसायात उतरण्याची आमची कोणतीही योजना नाही. २. रिलायन्स अथवा तिच्या कोणत्याही उपकंपनीने पंजाब/हरियाणा अथवा भारतात इतरत्र कॉर्पोरेट अथवा कॉन्ट्रॅक्ट फार्मिंगसाठी प्रत्यक्ष अथवा अप्रत्यक्षपणे कोणतीही शेती विकत घेतलेली नाही. अशा प्रकारची आमची कोणतीही योजना नाही . ‘पॉझिटिव्ह पे’ यंत्रणा स्टेट बँकेत कार्यान्वित ; चेकद्वारे होणारे गैरव्यवहार टळणार ३. भारतातील संघटित रिटेल व्यवसायात रिलायन्स रिटेल ही निर्विवादपणे आघाडीची कंपनी आहे. अन्नधान्ये, डाळी, फळे, भाजीपाला, दैनंदिन वापराच्या वस्तू, कपडे, औषधे, विविध ब्रँड्सची इलेक्ट्ऱॉनिक उत्पादने ही देशभरातील स्वतंत्र उत्पादक आणि पुरवठादारांकडून येतात आणि त्याची रिलायन्स रिटेलच्या माध्यमातून विक्री केली जाते. कंपनी शेतकऱ्यांकडून थेट अन्नधान्य खरेदी करीत नाही. इक्विटी की सोने: अस्थिर बाजारात गुंतवणुकीचा सुरक्षित मार्ग असा निवडा ४. रिलायन्स आणि तिच्या संलग्न कंपन्या शेतकऱ्यांना समृद्ध आणि सक्षम करण्यासाठी सर्व काही करण्यास कटिबद्ध आहेत. त्यांच्या सेवांचे ग्राहक म्हणून आम्ही भारतीय शेतकऱ्यांसोबत भक्कम आणि समान भागीदारीची बांधणी करीत आहोत. याला समृद्धीचे सर्वांमध्ये वाटप, सर्वंकष आणि सर्वांसाठी समान भारत यांचा आधार आहे. ५. भारतीय शेतकरी अतिशय कष्टाने, नावीन्यपूर्ण पद्धतीने आणि समर्पण भावनेने जे उत्पादन घेतात त्याचा त्यांना योग्य आणि फायदेशीर भाव खात्रीशीरपणे मिळावा, अशी त्यांची आकांक्षा असून, रिलायन्स आणि संलग्न कंपन्या याच्याशी सहमत आहेत आणि याला पाठबळ देत आहेत. शेतकऱ्यांचे उत्पन्न शाश्वत आधारावर वाढत जावे, अशी रिलायन्सची भूमिका आहे. यामुळे आम्ही आमच्या पुरवठादारांना सरकारने आखून दिलेली मिनिमम सपोर्ट प्राईस (एमएसपी) अथवा शेती उत्पादनांसाठीच्या इतर हमी भावाच्या पद्धतीचा अवलंब खरेदी करताना करावा, असे सक्त बंधन घातले आहे. सध्याच्या कोविड-१९ संकटाच्या काळात जिओ ही कोट्यवधी शेतकरी आणि ग्रामीण तसेच, शहरी भारतातील नागरिकांची लाईफलाईन बनली आहे. डिजिटल कॉमर्समध्ये सहभागी होण्यासाठी शेतकरी, व्यापारी आणि ग्राहकांना कंपनी मदत करीत आहे. व्यावसायिकांना घरातून काम करण्यासोबत विद्यार्थ्यांना घरातून शिकण्यासही साहाय्य केले जात आहे. शिक्षक, डॉक्टर, रुग्ण, न्यायालये, विविध सरकारी आणि खासगी कार्यालये, उद्योग आणि धर्मादाय संस्थांना अशाच प्रकारची मदत होत आहे. आपत्कालीन, महत्वाच्या आणि जीवनावश्यक सेवा लोकांना पुरवण्याचे काम कंपनी करीत आहे.
मराठवाड्यात शिवसेनेचे आंदोलन|महाराष्ट्र टाइम्स|Updated: 06 Feb 2021, 12:14:00 PM||म. टा. प्रतिनिधी, लातूर देशात पेट्रोल डिझेल आणि घरगुती गॅसचे भाव अतिशय जलदगतीने वाढत आहेत. याला केंद्र सरकार जबाबदार आहे, असा आरोप करीत शिवसेने औसा उदगीर येथे आंदोलन केले. इंधनाची दरदिवशी होणारी दरवाढ ही जनतेला परवडणारे नाही. नागरिक कंटाळून गेले आहेत. केंद्र सरकारच्या विरोधात जनतेमध्ये रोष पसरला आहे. दिल्लीत शेतकरी बांधव आपल्या हक्कासाठी लढत आहेत त्यांनाही न्याय मिळत नाही. या सर्व बाबींना केंद्र सरकारच जबाबदार आहे, असा आरोप शिवसेना नेत्यांनी केला. शिवसेना जिल्हा प्रमुख संतोष सोमवंशी यांच्या नेतृत्वाखाली आंदोलन केले. केंद्र सरकारनी दखल घ्यावी. अन्यथा, शिवसेना स्टाइलने आंदोलन करण्यात येईल, असा इशारा सोमवंशी यांनी दिला. नांदेडमध्ये बैलगाडी मोर्चा नांदेड : इंधन तसेच अन्य वस्तूंच्या झपाट्याने वाढणाऱ्या दरांचा निषेध करत, शिवसेनेने बैलगाडी मोर्चाचे आयोजन केले होते. एकीकडे हाताला काम नाही तर दुसरीकडे महागाई वाढल्याने केंद्रातील भाजप सरकारला जागे करण्यासाठी आज या मोर्चाचे आयोजन करण्यात आले होते. महात्मा फुले पुतळ्यापासून हा मोर्चा निघाला. आमदार बालाजी कल्याणकर, जिल्हाप्रमुख उमेश मुंडे, दत्ता पाटील कोकाटे, अनंत पाटील बोंढारकर यांच्या नेतृत्वाखाली मोर्चा जिल्हाधिकारी कार्यालयावर धडकला. तेथे शिवसेनेच्या शिष्टमंडळाने जिल्हाधिकाऱ्यांना मागण्यांचे निवेदन सादर केले. जालन्यात निदर्शने जालना : पेट्रोल, डिझेल व गॅस यांच्या किंमतील दरवाढीविरोधात शुक्रवारी शिवसेनेच्या वतीने जालना शहरातील गांधी चमन येथे निदर्शने करण्यात आली. या वेळी माजी राज्यमंत्री अर्जुन खोतकर, जिल्हाप्रमुख भास्कर अंबेकर, उपजिल्हाप्रमुख पंडित भुतेकर, रावसाहेब राऊत, शहरप्रमुख विष्णू पाचफुले, आत्मानंद भक्त, माजी नगरसेवक बाबुराव पवार, माजी शहरप्रमुख बाला परदेशी, भास्कर मगरे, सविता किवंडे उपस्थित होते. केंद्र सरकारच्या पेट्रोल डिझेल व गॅस दरवाढीवर नेमकेपणाने बोट ठेवत पेट्रोल दरवाढीला कंटाळून स्कुटरने आत्महत्या केल्याचा प्रतिकात्मक देखावा तयार करण्यात आला होता. 
